backend,size,op,field,method,median_ms,p95_ms,cleanup_ms,seed_ms_dense,seed_ms_sparse
sqlite,300000,filter,option_sparse,legacyJsonb,0.1797085000134757,0.21033399997349989,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,option_sparse,v2,0.07724999997549276,0.09725000001026274,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date_sparse,legacy,20.64254150002398,40.12670800000251,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date_sparse,legacyJsonb,9.980645500007768,10.65345899996828,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date_sparse,v2,3.410041500018224,4.322000000001935,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text,legacy,639.5722089999936,639.5722089999936,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text,legacyJsonb,334.0068335000126,336.832999999956,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text,v2,186.23424999998406,191.16095800001176,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number,legacy,676.7680625000025,683.5453749999942,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number,legacyJsonb,347.4509165000086,352.3481249999918,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number,v2,181.64058300001784,184.96829099996148,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option,legacy,682.0658129999799,698.1146669999703,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option,legacyJsonb,390.6333335000056,434.1917919999787,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option,v2,241.96745849999957,246.69574999995803,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,date,legacy,663.3712499999831,667.0765419999611,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,date,legacyJsonb,349.3666249999876,351.9696249999811,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,date,v2,189.43620900003566,194.4077919999927,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,date,indexed,0.004167000014376754,0.005582999961006863,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text_sparse,legacy,693.7347919999866,699.7190419999697,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text_sparse,legacyJsonb,373.9358750000292,375.52508400000306,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,text_sparse,v2,298.0590000000234,298.0590000000234,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number_sparse,legacy,695.9859374999837,697.3479999999768,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number_sparse,legacyJsonb,379.71558399999594,387.0975840000028,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,number_sparse,v2,291.2992914999961,295.61466600000585,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option_sparse,legacy,693.3006255000009,695.3197920000207,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option_sparse,legacyJsonb,396.81983399998444,413.3737920000158,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,option_sparse,v2,327.3867500000165,339.9938329999941,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,sort,date_sparse,legacy,725.3420840000331,725.3420840000331,5305.15991599998,7686.654457999993,41854.886541000014
